team,roster_strength
Oklahoma City Thunder,45721.4
Boston Celtics,41114.9
Denver Nuggets,39784.200000000004
Minnesota Timberwolves,37690.6
New York Knicks,37091.8
Cleveland Cavaliers,36572.1
Los Angeles Clippers,31792.600000000002
Houston Rockets,29895.2
Milwaukee Bucks,28562.4
Los Angeles Lakers,26424.3
Indiana Pacers,26126.4
Memphis Grizzlies,24630.6
Detroit Pistons,24559.5
Sacramento Kings,23028.1
Golden State Warriors,20964.1
Miami Heat,20820.5
Phoenix Suns,18417.0
Atlanta Hawks,17596.8
Chicago Bulls,16865.9
Orlando Magic,14467.3
San Antonio Spurs,14201.8
Portland Trail Blazers,13033.800000000001
Toronto Raptors,12678.599999999999
Dallas Mavericks,12632.5
Charlotte Hornets,9908.8
Brooklyn Nets,8241.6
Utah Jazz,7449.0
Philadelphia 76ers,7188.8
New Orleans Pelicans,5191.8
Washington Wizards,4142.2
